slug,protocol,thread,samples_in,samples_out,count,notes
agar_fresh,Preparation of LB Agar (250 mL bottles),general,LB agar powder; house DI water,1 x 250 mL bottle sterile molten LB agar,1 bottle,Pressure cooker 20 min high pressure then natural release. Cooker afterwards holds ~55 C as the pouring bath.
broth_2yt,(none),general,2YT powder; house DI water,4 x 250 mL sterile 2YT,4 bottles,NO PROTOCOL EXISTS. Same cooker run as agar_fresh; the small cooker holds five 250 mL bottles and agar_fresh takes one.
abx_carb,Preparation of Antibiotic 1000x Stock,general,carbenicillin powder ~50 mg; mol-bio grade water,1000x carbenicillin at 100 mg/mL,1 tube,volume uL = mass mg x 10
abx_spec,Preparation of Antibiotic 1000x Stock,general,spectinomycin powder ~50 mg; mol-bio grade water,1000x spectinomycin at 100 mg/mL,1 tube,Arithmetic identical to carb (x 10). Not poured into plates this shoot; prepared only.
abx_kan,Preparation of Antibiotic 1000x Stock,general,kanamycin powder ~25 mg; mol-bio grade water,1000x kanamycin at 25 mg/mL,1 tube,volume uL = mass mg x 40. Protect from light. Scoop ~25 mg not 50 or it will not fit a 1.5 mL tube.
abx_erm,Preparation of Antibiotic 1000x Stock,general,erythromycin powder; solvent TBC,1000x erythromycin; concentration TBC,1 tube,NOT IN THE MODULE - renders with [set factor] placeholders and defaults the solvent to water. Needs a concentration and a solvent.
agar_remelt,Re-melting Solidified LB Agar,general,1 solidified 250 mL LB agar bottle off the shelf,1 x 250 mL molten LB agar,1 bottle,Separate protocol and separate video from agar_fresh. Microwave; loosen lid a quarter turn; 30-60 s bursts.
pour_carb,Pouring Standard Petri Dishes,general,125 mL molten agar at ~55 C; 125 uL abx_carb,carbenicillin plates,5 plates,Red stripes on the side; "Carb" on the bottom.
pour_erm,Pouring Standard Petri Dishes,general,125 mL molten agar at ~55 C; 125 uL abx_erm,erythromycin plates,5 plates,No stripe convention exists for erythromycin - one has to be picked on camera.
pour_kan,Pouring Standard Petri Dishes,general,125 mL molten agar at ~55 C; 125 uL abx_kan,kanamycin plates,5 plates,Green stripes; "Kan" on the bottom.
pour_lb,Pouring Standard Petri Dishes,general,125 mL molten agar at ~55 C; no additive,plain LB plates,5 plates,The no-drug plate. Nothing selects here - it is what proves the others do.
ctrl_streak,(none),controls,3 control glycerol stocks; one plate each of pour_carb pour_erm pour_kan pour_lb,4 plates sectored in three; one strain per sector,4 plates,NO PROTOCOL EXISTS. This is the 3x4 matrix. 37 C inverted overnight.
ctrl_sterility,(none),controls,nothing,4 uninoculated plates - one of each type,4 plates,Incubated empty. Tests the pour and the hood; a different failure from anything the matrix catches.
ctrl_transform,KCM Heat-Shock Transformation,controls,1 x 100 uL competent cell aliquot; 3 control plasmids; 1 no-DNA blank,4 reactions sitting on the 4 C block; 4 labelled plates,4 reactions,SHOOT 1 OF 2 - thaw cells; add DNA; label plates. Ends at the 10 min 4 C hold.
ctrl_plate,KCM Heat-Shock Transformation,controls,the 4 reactions from ctrl_transform,4 plated transformations plus 1 no-rescue split,5 plates,SHOOT 2 OF 2 - 90 s at 42 C then plate. Carb takes the direct branch; kan and erm take the rescue branch (200 uL 2YT; 37 C; 1 h).
parafilm,Sealing Petri Dishes with Parafilm,general,spare poured plates,sealed plates at 4 C,5 plates,Stable 1-2 weeks. Never parafilm anything going into the incubator.
ctrl_read,(none),controls,every plate from day 1,-,-,DAY 2. NO PROTOCOL EXISTS. Needs somebody with weekend access; it is not a session.
bestp_intro,(none),bestp,-,-,-,No protocol. RPU; J23101 = 1 RPU; pJ12 weak; pJ01 the reference; pJ19 strong; same backbone same reporter.
agar_fresh,Preparation of LB Agar (250 mL bottles),bestp (reuse),LB agar powder; house DI water,1 x 250 mL bottle sterile molten LB agar,1 bottle,REUSE of the general video - not BestP contextualised. BestP needs carbenicillin plates only.
pour_carb,Pouring Standard Petri Dishes,bestp (reuse),125 mL molten agar; 125 uL abx_carb,carbenicillin plates,10 plates,REUSE of the general video. 7 transformations plus spares.
bestp_transform,KCM Heat-Shock Transformation,bestp,1 x 100 uL competent cell aliquot; 7 plasmids (4 pP6 clones + pJ12 + pJ01 + pJ19),7 reactions on the 4 C block; 7 labelled carb plates,7 reactions,SHOOT 1 OF 2 - thaw; add DNA; label plates. 16 uL cells + KCM + 0.5 uL DNA per reaction; all seven off one aliquot.
bestp_plate,KCM Heat-Shock Transformation,bestp,the 7 reactions from bestp_transform,7 plated transformations,7 plates,SHOOT 2 OF 2 - 90 s at 42 C then plate. Carbenicillin so NO rescue. This is the other branch of the module from ctrl_plate; the footage is not interchangeable.
bestp_pick,(none),bestp,7 carb plates grown overnight,24-well block; 4 mL 2YT + carb per well; airpore sheet,see notes,NO PROTOCOL EXISTS. 7 plasmids x 4 colonies = 28 wells into a 24-well block. Does not fit as written on bestp.md. Pick left-to-right to match the data entry layout.
bestp_tecan,(none),bestp,the 24-well block grown overnight in the multitron,black-walled Tecan plate; 100 uL per culture; 2 technical replicates,56 wells,NO PROTOCOL EXISTS and tecan_mnano.md is one line. Fluorescein settings plus OD600; data to the USB stick. Doubles as the generic Tecan training video.
